,Actual,Gru_predicted,cNN_biLSTM_1fea-Copy1_predicted,cNN_1Fea_predicted,cNN_LSTM_1fea_predicted,vANILLA_LSTM_predicted,biLSTM_predicted,gRU_biLSTM_1fea_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
370,63.75,74.42025780239734,52.56994277171969,64.84573906105267,59.3913556866018,60.869173308143104,54.76250126103983,36.66288003154892,68.84281895136513,32.8537693626934
371,63.75,76.85579069490173,56.109504571842585,68.46553784495171,62.09086502746774,62.58272008584242,56.839693406825205,40.68115272797307,68.41412043618222,33.25791474453626
372,63.75,77.79369617652723,57.198111191613854,68.68703330062273,63.86014334583673,63.513824206462026,58.43680998193274,43.62129965057733,68.18966084906958,33.68795592321872
373,63.75,70.22922540055211,49.67383961407596,56.06597072553353,59.13919907921164,49.00023340700863,41.05526793657199,43.50794363381237,40.01523565395233,34.07063703146638
374,29.0,61.32913460568431,37.62774150059154,41.551796637838535,52.36275438612581,41.60700725441823,34.294227188935864,41.45347771857259,33.91684703357576,34.41768619826298
375,29.25,54.44161569008685,29.22938681365041,31.636138650182964,47.53635967607326,36.91156992580501,29.03537010372625,37.40226574465549,32.102237313939305,34.66091005805369
376,27.25,47.80747131707586,24.85482221631189,24.96845153480012,42.41564652365711,29.48597861276448,19.530992690554584,32.68395544631639,25.58416363252841,34.886301438961084
377,15.75,40.65161046250356,22.1482455496758,19.54501545346992,36.630843200014674,21.4674821390904,11.385243999743206,28.7759865917074,22.331863954437484,35.12022570320167
378,6.0,48.1359322982107,26.11743215605712,31.654037161697406,41.00925786659575,40.2711451158781,37.941803699661584,28.90688160899511,60.17782633418014,35.370144538092575
379,63.75,59.92134092097178,35.994072195676694,47.931583315755205,49.64439639755312,51.444508286178085,49.07718710162605,30.527652539963498,68.85441134660711,35.53925410640425
380,63.75,69.3291346056843,43.47949457523593,58.92140145088364,55.83677879985693,57.62485073874006,52.43709245485477,32.62965461265442,69.44327567706375,35.67168621660537
381,63.75,66.5515967057054,42.20188055430725,54.51894356961398,53.82907866137183,45.44285747039996,34.98683611984922,33.83972825738052,40.22005787026422,35.829019965699715
382,28.0,59.03509496776324,36.26219402588112,45.1682864532223,48.26905041407962,38.37602327650247,28.37646899676257,34.63029292808863,31.999644616047764,35.989904802956794
383,26.25,60.999661124205545,37.21348945770702,47.03711629997157,50.59823775415685,50.660811009107,46.57228326164513,36.292539688362666,62.28684987664737,36.100780927575045
384,63.75,67.03459605455029,42.39212790153801,51.80843612718618,56.22451140438567,57.27979722479525,53.67708621843961,37.83250868971084,68.35303291543238,36.16106871979236
385,63.75,64.8291428597632,40.69951346790539,45.03849197978668,54.44065454845603,46.01937736731568,36.94248787108963,37.24921311114576,40.73106239166521,36.16953557049442
386,29.67,58.050401698506015,34.17215119638288,34.71221374395847,48.56851573319148,37.84026752386804,27.074283500096296,36.013287691334135,30.913532562341224,36.22738015536011
387,24.25,51.10624879628016,30.948616066106,29.620565954675936,43.58728184010932,32.51399845923861,22.81535671377606,35.13382108825444,28.185170630153067,36.3309486688005
388,21.75,46.06487018168145,32.336099214028266,31.56694378972276,39.94668644588534,29.188681365041223,20.28355558205013,33.86249484120069,27.33407604758018,36.32838807010464
389,20.5,42.8141130992232,34.580687748195565,32.970599429551434,37.18046213670589,26.67696882709539,21.03501242697433,34.293515503911514,26.438923026128744,36.38205792529141
390,18.75,41.00133028238121,34.28436998450067,33.68816135807111,35.18344094206554,25.3375922851876,26.28589790621532,36.29931903849152,26.39849271348258,36.40770426552454
391,18.75,40.29187936205141,33.43742812072966,35.12360437282757,34.01190834303952,25.038912020690223,26.83905142291149,34.308475563340885,27.025945779872888,35.75711043040436
392,19.75,39.20554353109495,32.00474013408292,34.90693663618772,32.72460953621248,23.23531874501316,25.144463347304125,32.22363830626301,25.20190439942405,35.09057705182644
393,16.0,36.95857782220714,29.248090556416628,31.309948457862927,30.703222300686924,20.126955528857177,21.86748764180966,29.82121344130892,23.16283692691472,34.41460834395664
394,11.0,34.774390803121875,24.930290176729,25.416519621779763,28.92059255115236,18.483394168951826,20.013891156213028,27.20741445564349,22.852529416620047,33.7217499564368
395,11.0,45.18255683850436,27.56597164265341,35.46199959646725,35.812221998037366,37.444596329686256,44.138122380476354,26.441907334207656,61.04803736346378,33.064237368966495
396,63.75,47.68512752551886,29.85077588341572,36.27612691104854,38.553654722708806,30.16771050193971,26.90701550849712,24.504126580885387,33.969053165439256,32.47981556719279
397,17.0,45.29173078863138,27.243383897209203,30.839577849720737,35.79021112099563,26.53915689169732,21.27417344571109,24.69839458165577,26.66063675633042,32.198810036959934
398,17.5,41.82142254464081,26.6964851380724,27.58698469326925,33.63033878408247,24.52940423892807,18.83164109430744,24.655044159322063,25.43984198024524,31.9327425552794
399,17.25,38.18730201674661,28.888630923448005,28.787612003264947,31.542607096673606,21.430347955281235,15.62442886359676,24.55097489842897,23.526759265203555,31.686195053055386
400,12.499999,36.04628933297872,31.071581664939423,28.7485371937966,30.02507084751048,20.659827856599136,17.372756495501527,25.69641360272201,23.94247686565111,31.523864834872565
401,14.499999,35.52633005310124,29.96806817869164,27.8012991003054,29.47170639324266,20.997355484835424,23.71006034648789,28.54904344396856,24.832141841760137,31.43841494171703
402,16.25,35.99298999422214,27.01042444307896,27.03919816209177,29.487855040032283,21.691659253281,24.108528756293737,26.951836991113108,25.66266175701826,30.838633216247697
403,17.5,36.94123691957776,26.13005539404056,28.668791786274383,29.84994130432789,22.677368691361647,23.840891165384228,25.14014554692444,26.62705732916349,30.29036794849455
404,19.0,36.82876133789448,28.215180626759725,31.7336101506828,29.611996386547684,21.474371543604462,19.322003081522787,22.82819455781065,24.759707713895285,29.8152209800343
405,15.0,36.45468648257014,28.651483899960564,31.989050047231675,29.192630483230463,21.26772425873786,20.38685262800701,23.33975118537744,24.871288186578862,29.637927033942606
406,16.0,36.75301824151435,25.32180498362941,29.15343828241789,29.40831690160221,22.321643570531105,24.66965387895852,24.366703504315048,26.29409328943386,29.477834588259032
407,18.75,37.11938562139457,22.627268266735143,27.05321542228785,29.72213698102479,22.55829901776461,22.99986105633868,22.11997441235544,26.17929005750341,29.07350394820107
408,18.0,39.63631840567881,22.74479901317901,29.12348698148335,31.45645285545273,26.857237910067223,24.39694828361015,19.735939635169714,32.63619184313582,28.761292497042287
409,28.0,42.63627254968497,23.89718765189798,31.68572181919899,33.79411438319103,29.61003191577171,26.108013334923008,19.85489375166228,34.725060759191834,28.688854700697927
410,29.0,45.47044076781276,25.025795372213103,33.31179737153443,35.91537964177298,32.149777139869954,27.7952864623935,20.45849986701762,36.85625659179912,28.67625714207104
411,31.5,47.38776791364399,25.900192136614177,34.109805387162154,37.53281225639003,33.418370369691026,28.033130496987265,21.222992653869788,36.85304300375102,28.71266313269808
412,31.250002,49.40149536395902,26.98462769518604,35.30151095499693,39.29172345167237,35.913391325880205,30.075705035905244,22.165360840815502,40.13467400973981,28.797883745884423
413,35.5,49.72139411392463,27.28207901904858,34.61050881810762,39.96451525628915,34.77740629327659,27.743304107779927,22.962704861652465,35.95300723607583,28.930148940267983
414,29.75,44.32439676440107,24.83130909691205,28.109667819180647,36.304590643543015,24.873617671065784,16.65745801883764,22.631877711235635,24.58944807725818,29.0717797628328
415,8.0,50.70021414749122,28.52312013353265,37.60018388253528,40.677238460339154,41.866676907838624,39.51683235965773,23.977723616753945,61.13358263708649,29.241302035089006
416,63.75,47.576026944981976,29.9397291745004,36.76038821684382,39.78094087328154,27.41890596769904,21.082183570714527,24.064868347441696,32.35001008831865,29.432715958802977
417,5.0,40.63356154332933,24.82771398699524,25.843174793877303,34.017939323348955,20.240948026816582,14.509546759356915,23.808520502214844,23.593248622027385,29.617658684666672
418,6.0,35.13656877940516,20.73072122307107,18.49711428230784,30.497750763502296,17.730952337280005,15.597487550097672,23.59822491447857,22.355560497812668,29.751565523629598
419,9.0,32.74563359226685,19.7632991553326,17.821547272944045,28.792857928959894,17.68021176297954,11.933708282509606,19.42062281610829,22.8802172656988,29.56292680466264
420,12.0,32.34690655465576,19.60695222722562,18.363079046562177,27.922558856168088,17.83567091904583,12.692592881315516,18.4313824665022,23.200337958674577,29.55981043132148
421,12.499999,33.35631803883086,19.887592743747536,20.43292506213487,27.83811779487697,19.263861349817034,14.490075387253867,17.753669396626833,24.51579051147776,29.506290983794493
422,15.75,35.269668552876546,20.593380687289635,23.832173023835946,28.61044278547649,21.450376019149463,16.723628217944366,17.454149050322368,26.59821757751956,29.421365683208453
423,19.25,35.606196520447185,20.84973220099599,24.342627273310896,28.58739739721379,20.17896539706705,15.16197850271009,17.50229784385117,24.21406724322936,29.335519594266167
424,13.499999,34.844400066032634,20.62040637581738,23.142163210653266,27.84038124673276,19.07352045635885,14.161500683254308,17.483078679714225,23.45789640213872,29.22569999174592
425,12.499999,34.246016031255444,20.466687913277145,22.247268817007072,27.422282803085192,19.12201592120106,14.538927611728129,17.480378678797106,23.85091345139724,29.09877426928474
426,14.0,34.875743554940065,20.830423159111128,22.73222713390868,27.898119445692743,20.8174092280602,16.654539743389858,17.640889331144475,25.72322101671909,28.966454047708577
427,18.0,35.869905169804746,21.50768133752763,23.7042127901538,28.620134908333867,21.72912360024579,17.226914258462724,17.84243192677715,26.13562964865137,28.83425121747664
428,18.0,36.27161468125499,21.9906458358172,24.43944761869824,28.85231664480864,21.475969166429746,16.951649898658253,18.369315461724003,25.272452928822325,28.731827269642416
429,16.25,35.3104620449939,22.22826059044177,24.067949870227537,28.1706599594633,19.533241468492346,15.124565514458396,18.79546805212909,23.47587745444207,28.633455157423622
430,12.0,34.73544255619652,22.547909883800912,23.90678622852793,27.740776525399635,19.78789447618698,16.112837385474656,19.194893935086256,24.22222410741308,28.534195273164155
431,15.0,37.75577143538432,23.92112081220136,28.34466511367701,29.924206003466715,25.681591111274155,24.410540000183424,20.373488357163165,32.932751726478166,28.46243981400809
432,29.0,41.75194154277906,25.882029494575235,33.27701651732898,32.989704870823665,29.36057530929868,27.9313980575401,21.15833386831993,35.67693214230032,28.37152205214744
433,30.0,45.48161862487046,27.497448113942973,36.90412658088539,35.68377385658079,32.51577033484047,30.64649293359135,22.099346552087823,38.06842126984418,28.324154644753616
434,32.75,48.018834432348655,28.236013921879728,38.61734686390858,37.74672863339967,34.22984904206829,31.311386501829656,22.87143125727964,38.25678301860836,28.321249208984103
435,32.75,49.57984583214872,28.356318038830857,38.735798398708695,39.25460577602098,35.48502664233242,31.72467740308336,23.549931216009245,38.72010464337794,28.37739161935857
436,33.5,49.92712244467474,29.283599603804213,39.34606463860892,39.97040316589781,35.19434366316021,29.618456578959435,23.568299292900576,36.881759861331474,28.469420930509827
437,31.250002,51.264026431394846,28.55155268395132,37.17494107504792,41.2969620404083,37.85904647046416,31.69170877775434,23.93726579051148,41.8272187422618,28.6355223456258
438,37.75,52.58467538541963,27.99938415400277,35.612542989994225,42.7093816777791,38.83882030870255,34.9469560791291,25.787399231453545,41.86405027651164,28.933971495914232
439,36.75,53.5769330594202,28.54028678338545,36.05183240551372,43.6289337564313,39.47200354008272,29.635047277529647,23.47703302548676,41.95950044480314,29.036312902959544
440,37.0,54.75460302466136,29.35012564542312,37.45612269229711,44.67529049772096,40.89462155048286,31.25197180773499,24.533663343635645,44.06687317149225,29.411712079385897
441,39.5,55.34876463952603,29.8939538872126,38.26464823867128,45.3524881462256,40.89454818089273,31.21815943211937,25.51438181534708,42.85653539624164,29.80216852994855
442,37.75,55.66117969129745,30.081057347505894,38.671053403890426,45.71591707402074,41.12181415482818,31.629102506488625,26.31269614901364,43.01462852059392,30.193479736236323
443,38.25,56.342526390124455,30.58257518090189,39.45669130662069,46.38333088768033,42.22221126773481,33.01135990535323,26.99577253592817,44.99358612214203,30.58184515348001
444,40.5,57.04592798774728,31.04940937479938,39.86021671542687,47.08049607014133,42.80252804094023,33.76468217210672,27.67459532085439,45.31046938195291,30.97407164540477
445,40.5,60.80861404844227,33.621622476773936,43.92611728128984,49.947801663655454,49.21918293790181,41.43937608334785,28.73687693168374,57.70922943587957,31.37137714720691
446,54.75,65.1300022010877,37.3897232132212,48.472236488531415,53.52429037849537,53.03710529453305,44.109687995817936,29.84311793244495,60.64791997211955,31.78965718059008
447,55.75,66.34624989682402,38.496221007547895,48.65621073580528,54.59794427579629,51.26418417601365,40.41224951163367,31.00144400524593,53.04994130432789,32.27250979025468
448,47.0,62.3223534213157,35.026862899749624,42.36881838275081,51.68982317928776,43.65880618505645,31.008089455872778,31.372074158313232,38.2462544824234,32.76939066555389
449,31.5,56.63397974999312,30.235474655392206,35.26020754422811,47.52972339664517,38.32339160101617,26.14966158276548,31.07405422012712,33.41214129148821,33.233357942716694
450,28.25,51.155597182607735,26.75540642167337,29.907754707117768,43.70374505901666,33.611596522281424,22.171547731503985,30.07392949182388,29.913163880150776,33.614901822317194
451,23.75,47.90767216632886,25.305812247218835,28.315093500371432,41.15084650164623,32.120264222236486,22.10425864614764,29.05369782734301,31.113692141199778,33.913875565175125
452,26.0,46.963104725918726,25.70720626943148,30.1854255894788,40.10218962370571,32.296332896172856,23.673340700863008,28.452147894751324,33.30055348184561,34.13720892907912
453,28.25,48.35326769812082,27.35548162550327,34.06183268064969,40.61680759742106,34.848732540330346,28.40850215981731,28.861561213166173,38.35108128433468,34.31114254794244
454,34.0,49.231523702963216,28.55190485798399,36.27639104157304,40.89038078817282,34.43044150150866,29.25001283967828,29.561006355640743,35.99965562148628,34.40428524262406
455,30.0,48.22808817190495,28.190212955235378,35.54773563102433,39.77262443023928,31.92901538010033,26.44437805515559,29.257307611177858,31.41116180745985,34.33551592578666
456,24.75,45.18996716710841,26.881416858497573,32.39569366361877,37.36180608417326,27.80845997230298,22.344751322945424,28.66934756091969,26.765624971340003,34.20383952236397
457,18.25,42.43249585003256,25.930370883278155,29.85945000320992,35.23311949154874,26.083269440648586,21.35767354200868,27.875079560149302,26.61240175353321,33.99770399038859
458,19.25,40.959726056292816,25.99234434182892,29.26789484303493,34.128888817557346,25.7123348037822,21.8888125131836,27.241591844970056,27.418689527408127,33.7456390949861
459,20.5,40.86168960994892,26.48983051624678,29.87042059117548,33.869773104542496,26.36796179278593,23.271271678421087,26.827374652640845,28.88057677669048,33.45212404963453
460,22.5,41.99537083742216,27.19381907059072,31.315010959582526,34.431930904188484,28.0950580995442,26.10771251960344,27.02284224621,31.394418866990105,33.15604840558709
461,25.75,44.4677462696149,28.620175261608445,34.18727633739006,36.027125196034376,31.317098324421984,29.723729101130807,27.201618258022503,36.10866082155599,32.80484285150912
462,31.250002,46.8002462466869,30.081532415602044,36.57211084310831,37.68930592367728,33.130978016636554,31.26300292561241,27.753489641131,37.038723093995614,32.485310949494206
463,31.5,48.00031594779754,30.93057448389079,37.63978878729239,38.58102891678971,33.439856654163265,31.074410062639288,28.38138109082238,35.8215766207801,32.198773352164864
464,30.0,48.342210900886855,31.552614708768584,38.30198602309308,38.94947265607088,33.50018113117566,30.625186404614947,28.80744930619881,35.31075185487495,31.932258315984484
