,Actual,Gru_predicted,cNN_1Fea_predicted,gRU_biLSTM_1fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,vANILLA_LSTM_predicted,cNN_LSTM_1fea_predicted,biLSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
724,66.97,76.088057609343,112.78700116043667,77.84481441329375,109.22683342031722,68.90458780837345,104.5629400712388,79.12044209709549,73.38024790122586,105.97026770636876
725,59.62,72.77743955920141,104.96491660424569,76.41456948166066,107.34162502045938,63.81103985200041,101.34547382804728,72.84091659632968,66.5307403290444,104.57857836947028
726,51.33,68.70580484738527,97.14383039582172,74.96339649870207,104.59005936879124,59.90148019484253,97.59620113999476,68.94191409429042,62.45320493490368,103.15656608173704
727,47.93,64.58305323982535,89.67142087021503,72.98186244003773,101.62583074203047,55.45009336337088,93.61617601133932,63.86267082234066,57.77768530455311,101.44761076490074
728,41.92,62.13679202078172,86.36294107238045,71.16050359513169,99.45318758954252,54.6683349092826,90.81293468719213,63.26943618838075,58.22264666921628,99.62566334183352
729,44.45,62.25661982907427,87.92832056967463,69.80471752606431,99.23346167651589,56.668532110905424,90.18416930322462,65.5093858612228,61.534184838381975,97.70622055399396
730,49.2,64.13714940506867,92.36403930148892,69.20122375124458,100.78128813396567,59.11882024762133,90.9312537982994,68.19068720101806,64.57552837979019,95.84205941116517
731,52.18,68.11118444712186,100.81594719226622,69.79708836103858,104.20527825851818,65.36777693578887,93.85521324833738,75.89526473495707,72.76294861586638,94.0759002573487
732,63.22,71.17186538874913,105.57079449313596,70.87810528347559,107.73998068022162,66.31003096896367,96.23399286364986,77.2983382165424,72.07813420017163,92.37689116640044
733,58.85,70.36198928934135,104.0184233182392,71.56440232010794,108.13057306854164,61.52521833436979,95.19045123425924,72.63551771879573,64.25362082777127,90.63944568642113
734,47.72,65.24069620547233,97.43601847588,71.04043365025385,104.53486712805812,53.43697724362829,90.78922765290314,64.52638582851107,54.70730027362307,88.63030805703376
735,35.23,61.19115180059109,96.2799019602208,69.65246204123412,100.47360331244886,53.57440651908228,88.02118926307884,65.49449259863836,56.94062285438464,86.1739329790815
