,Actual,Gru_predicted,cNN_1Fea_predicted,gRU_biLSTM_1fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,biLSTM_predicted,cNN_LSTM_1fea_predicted,sEQ2SEQ_predicted,vANILLA_LSTM_predicted,sTACKED_LSTM_predicted
790,94.62001,92.52284884218184,120.99806026890931,60.93885551250659,84.77522727203323,106.3558088093364,122.0735460872632,105.91898690131278,108.51701652618786,101.99774707016591
791,83.88,86.90730715423395,109.7758969057102,60.92919872700836,77.43565410110863,105.27826452651406,117.27219458723104,105.52103960095587,109.2112927224858,103.71592374026922
792,111.4,82.78648625716384,101.27007425634412,60.92269150463128,73.31150366588189,101.09873802255372,114.6290249737661,101.92528462150013,105.9217427690438,106.09901817900548
793,102.4,79.60570309157873,94.27466397126295,60.91554312119025,69.33712058128553,95.43752204512936,112.04287370123362,97.64494960078363,101.9310888163948,108.60024373166416
794,97.25001,77.09073194558418,88.92686326971183,60.90702805232343,65.88292159146572,89.84748057002304,109.26814233682248,94.32780722471246,98.8838752482456,111.20904936178944
795,95.399994,74.8167642447758,85.10715185546309,60.90331606721637,62.72333611052989,85.19784240069254,106.42689894835657,90.22817838807178,94.92872137134782,114.25235972135636
796,89.97,71.50868248689777,80.18530706916762,60.89796180991042,58.39458780526552,74.0735742083625,102.3721288893128,79.73012208330374,84.210735573206,116.8850570374435
797,69.1,67.72372312715895,74.54041257777462,60.8935411731011,53.8127439821177,66.71518802200889,97.16972551956148,71.85002763859177,76.7370360070794,119.35566433718876
798,65.75,64.23553697673006,70.87355621085895,60.888181291575286,51.06629119515858,62.12393487903665,92.2310811885466,67.08235396707643,72.46863558090413,121.40677232607672
799,65.77,60.97544668691049,69.00018481796114,60.886117202886965,49.30557855026023,58.30313799035508,87.66972077412596,61.456334357530864,67.23884226043855,123.15546601313598
800,58.9,57.75896097365923,68.3380622865982,60.88489674717752,47.7820167599445,54.294998338163865,82.94778888272543,55.20377665567146,61.34307381800649,124.02237201379192
801,51.73,54.79598134634113,69.33911717933555,60.883760654765965,47.07056419619661,51.856854035445856,78.23850586178823,50.54980221282953,57.07837975271843,123.97385749328652
802,49.530003,52.01172817770839,71.24327555174256,60.884013744659626,47.73910396241887,49.930845568885886,73.7275159604265,45.72310516600192,52.559662173270176,123.15638838519288
803,44.4,49.50417537770811,72.59547861138847,60.88497548625555,49.76637088332372,49.6406695694708,69.42300241853538,41.925758462023246,49.049243481737896,121.54258598723644
804,42.12,47.97165982937655,73.68411947999299,60.89134210313616,53.044526167331,55.878834892710536,66.03406125174175,42.64851570768811,50.1774113675128,119.36222217754458
805,49.919994,47.51080000567475,74.79230451260818,60.90261303973397,57.17203426181367,64.57905870150955,64.00821163424143,44.92183381110276,52.73201639085507,116.19705747050844
806,54.699997,48.64168438964165,76.75237887885527,60.91387272789207,61.39823054216557,76.72966827906386,63.69226545943154,52.16588241982894,60.14126239739534,111.71165214528617
807,69.7,52.26901373938692,81.46832097610577,60.92800076817836,64.89584288507847,95.2513941131093,66.20946942071019,67.24372408327633,75.00437134661883,106.37269271735369
808,96.83,61.45177873944492,94.5589064187266,60.940030974457166,72.1818453618443,128.6759640096834,74.85812475762029,103.13568422583624,111.00202182877264,100.03555799725176
809,167.47,85.62920319123288,126.45185501792676,60.94277559374845,97.40848490102384,207.36521145039976,99.75106245989448,189.9749436707468,208.3075382393674,93.41127873223888
810,364.57,114.6078554102161,168.10274633374465,60.948911617614826,129.90143652324218,243.987858988626,136.01248885344435,239.5040284449643,263.46889675561386,89.85763228686886
811,353.5,159.21102346296004,225.65236232255805,60.96047501364532,175.0167347879243,354.31464795629694,186.11893354152687,363.5804601867957,403.0850254715096,90.44845095885698
812,626.5,203.99918335531245,287.2453986947394,60.97658277932205,224.80051798268505,398.35897102695225,245.45724266903807,423.9777424231543,469.5806717980679,95.75941864455028
813,579.5,231.1367415791697,317.2670793592691,60.99302799819032,242.75458005790267,369.6620641018152,287.5962150326763,407.8175140235858,444.31550635285294,105.69780883113025
814,424.5,237.0700685618215,311.2010207879405,61.00442266762504,230.40851759180177,319.99671572884927,303.49215009262167,362.8003358985671,387.72645087379067,119.2321452206412
