,Actual,Gru_predicted,cNN_1Fea_predicted,cNN_biLSTM_1fea-Copy1_predicted,gRU_biLSTM_1fea_predicted,vANILLA_LSTM_predicted,cNN_LSTM_1fea_predicted,biLSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted
48,36.439995,63.643880647364206,41.594371504281256,45.17421906046948,66.12909566850092,48.58674168275249,55.33742683918643,39.99480020521965,45.3912156238494,46.87629545893952
49,39.57,64.38548590634481,44.88962394794173,46.53634498242352,65.70204090802132,54.48284577877129,56.79686671635987,47.96707147486924,53.57129264766181,47.13999126915226
50,56.32,66.90791886311101,49.22471351576937,50.52982947546564,65.9191469359178,59.62039445643796,60.56359546335363,53.27413437677226,59.64720905282077,47.37998801153035
51,60.77,69.36091763499017,51.35057757991716,53.54329499246544,66.47845588326715,61.39988331898256,63.46994574072843,53.71723831944864,60.81302720502421,47.714604197951054
52,57.65,70.56208861586789,51.17161572586717,54.35702894750985,67.02500379409014,60.2237628717016,64.19260942817091,50.93800581701282,58.45746448340215,48.1695260982419
53,52.02,70.29603089820175,49.69376896921725,53.4738860686207,67.61724051005466,57.5577798319917,63.10754661797075,47.5004158204382,54.76613994762149,48.73170217389031
54,46.890003,70.10963808754701,49.3937940921132,52.85202657040631,68.405031374675,58.03872481600719,62.41543195099516,48.98323479224405,55.65909253126367,49.30286697041754
55,51.97,69.31674449238561,48.05664292062908,52.12211717400247,68.83473854459426,56.06289871249599,61.68584673796728,47.12529776289131,53.18597754938024,49.77077304644157
56,46.25,68.1196236986205,45.979722125903535,50.57247011483841,68.46591890692312,54.19494567987826,60.31777605072944,45.158148827404126,51.11334692166899,50.03449411769659
57,44.359997,67.14238343722924,45.41875015993726,49.79312485868782,68.16958161990776,53.726799623952544,59.29461963481611,45.16621973041337,50.9583746374399,50.24345345945698
58,45.9,66.49192001880368,46.37111671502775,50.309195321997045,67.88254039645233,53.61757929747068,58.85639949364767,45.33871054746533,51.11846228273119,50.36573795497259
59,46.33,68.16527040202489,51.600362976179696,53.70403942485606,68.79805109085272,59.62160698646751,60.99545824221432,53.51284701616766,59.13454883021968,50.546072325653256
60,62.045,70.67853360044255,56.11844353430137,58.06131660815512,70.28471395125922,63.14111012281669,64.37615195122146,57.417336857248735,62.79749258499601,50.75826087065208
61,62.045,71.64144243051223,55.36047754026916,58.78525597823288,71.1899855031878,60.81749840950821,65.25879381943868,53.70527300575419,58.82960594813342,50.93360618548196
