,Actual,Gru_predicted,cNN_1Fea_predicted,gRU_biLSTM_1fea_predicted,biLSTM_predicted,cNN_LSTM_1fea_predicted,vANILLA_LSTM_predicted,sEQ2SEQ_predicted,sTACKED_LSTM_predicted,cNN_biLSTM_1fea-Copy1_predicted
685,77.86337,92.10983557938192,114.08019330240644,70.6455482335446,107.50849768232295,122.20815024998154,126.27956278426308,108.04236437889676,138.24652953992225,75.0402904371018
686,115.93,88.37019830593445,106.78370796148778,70.64604707078185,106.5770369227783,118.323746253308,122.3320835902576,106.48345644272976,139.54433775216015,75.04760671658143
687,111.72,85.8534605195983,101.02845647628868,70.64657362119894,105.59720973610555,115.2401492297901,119.6211387678482,105.9006898403158,140.00186849484524,75.04858360617104
688,112.1,82.92726742931677,93.40846825872028,70.64647662506947,97.19277224978624,110.83951104722044,111.82625960055998,96.07969316611388,140.07807973942465,75.04874295695515
689,91.79,78.42074411484644,84.23329952767432,70.64586693511283,84.99602166342517,103.55053597804032,99.9880413501753,80.03168354617632,139.8167028836971,75.04928336396218
690,69.06,72.86443861947444,78.91340824128264,70.64544430912017,76.39283217953768,95.06203056065496,88.9618608390793,67.09205346083489,139.0661468338991,75.05058588341498
691,58.630005,67.97362356835987,79.74458193125572,70.64609556884658,77.17911051815852,88.24879379331944,82.92875701273356,63.38132796226288,137.81382980638014,75.05411238555052
692,63.98,65.20696139786794,86.00306319270771,70.64745351465908,85.02025683920142,84.7961264971883,82.46422176384213,68.04946068501135,135.45667143789834,75.05617008915416
693,77.25,66.25968117583342,101.01590240581795,70.64967056904685,103.89051434010914,86.52398783429294,91.32160346158184,86.2993170852728,132.2123726127423,75.05792987607445
694,110.02,70.72012440051304,119.3855351693784,70.65180448389508,121.7460468326217,92.59771225399952,103.19196900058913,105.35271713519982,127.91558264335454,75.05690448842012
695,131.49,75.92094600969182,130.02822762604572,70.65290608279399,129.13406187828025,98.57947048638364,110.11399385541428,112.35335735295614,123.3304924640178,75.05105700747238
