,Actual,Gru_predicted,cNN_1Fea_predicted,cNN_LSTM_1fea_predicted,biLSTM_predicted,gRU_biLSTM_1fea_predicted,sEQ2SEQ_predicted,cNN_biLSTM_1fea-Copy1_predicted,vANILLA_LSTM_predicted,sTACKED_LSTM_predicted
591,115.15001,106.2171132369183,121.21441679410091,89.07634254517905,113.72328568761456,92.02017547792032,101.23717485808687,71.52057436407037,107.27549981576244,100.7736835206973
592,128.82,115.84536236784253,136.4911441837124,97.17456951444936,131.00849863455554,96.55045450926374,118.68132341576847,80.91769825025486,123.47303713420428,99.5123773668672
593,154.97,126.44565521897206,146.7541153649016,105.86793107654776,139.8607076253096,101.73442733658412,128.38485485238652,88.70231193300445,133.64029296086505,98.33861082854352
594,154.62,135.88411130813202,149.33711980333428,112.7403325837528,144.42704053197025,106.96863875746324,133.00496623344594,91.76776055837762,139.35059945856594,97.46568377185878
595,152.6,143.24016005786555,148.49331802957525,117.42762611612832,143.9354002133101,110.04653365425968,134.87417448626553,92.20225888596894,142.42812902958175,96.3276876664363
596,151.0,148.71813195651836,147.9335381541049,120.84747854104708,142.56392944045515,112.19899536148456,136.4811166209058,92.40417066569798,144.9817940285966,95.72610318396376
597,152.55,151.10804282372027,145.4361081304276,122.38474423111028,135.20109067017793,113.51270686867582,131.88772441159617,91.69347345050004,141.6452988688679,96.01759536459454
598,138.5,151.4902995646797,143.19363770931682,122.22954376154068,131.68472925196593,114.8562869077948,129.07270031013326,90.48599616083152,139.51980828220707,97.25411605382412
599,138.1,150.20518424790424,141.11459388656044,121.2701226769286,128.00956449614074,115.78915258738638,124.96255852396968,89.1171771492464,136.00809531961775,99.01233455525228
600,131.85,148.56136940430048,140.44308730941697,120.258573382651,128.3343139202507,116.58822084917772,123.80911165751417,87.86745434215082,134.86844265074166,101.00395213946862
601,134.73,148.28241167717798,143.5444386408188,120.6519158714368,133.02513473602556,117.125186759519,127.86576471041536,88.49276610420407,138.29448041904993,102.8270789541644
602,146.43,149.12840540562087,146.5093974816338,122.34763217077328,136.49994979476998,117.8758178617734,130.96682630068082,89.63986386054081,141.09628980520617,104.719063379791
603,148.45,151.39798551914348,149.15120677330924,124.80551882805617,141.46884651681748,118.7600070304545,136.0748869502718,90.74675058612546,145.92146232617253,106.55018956933876
604,157.15,156.39990013329668,155.35411099516435,129.2412792617388,151.40934841066556,120.37128268469964,147.03478634396092,94.11965864823162,156.3805252694819,108.3766673032639
605,178.18,161.45023930954608,158.03392676546736,134.05589512738868,152.04281071685932,122.08382916482708,149.86003956728186,96.9516200087316,159.80861642062618,110.50077217144644
606,169.6,164.67717452740405,154.5788141039962,136.44311014227824,147.72311050445467,123.47137427203032,147.5469478935406,96.54636663975276,158.43300108977704,113.01988239058876
607,159.53,165.70278256551603,149.6507456872957,136.45432186451177,141.77650121388152,124.0197660610972,143.7326695999348,94.84914494625124,155.3651463532279,115.76214367450024
608,153.07,161.2447498566549,137.9305403568855,132.36931197256828,122.65705050953696,122.79175494306844,126.20834463084284,89.66560673063542,139.6105224527729,118.8908818420096
609,113.920006,151.6946552479068,122.1764833412625,123.49940357761412,104.00250205594168,119.86306413406275,106.68593959044932,80.90631016385137,121.612294361543,122.1555841871216
610,90.43,139.89329720443106,110.94035986508534,113.25301062840168,93.2845994983266,116.29627516068136,93.22598360669453,73.51806235565843,108.1131792333355,125.25075017513394
611,83.83,127.354812515144,104.3876751044259,103.70108939075035,84.46271884608625,112.0467300956008,81.7508236930106,69.09406793160062,95.74268141594052,127.73478911933456
612,72.8,115.70983910066477,100.6151825216612,95.23577929785802,80.81053812083977,108.2070805564014,74.01078605421978,66.15759190423505,86.83073536133101,129.57450676344783
613,69.6,106.99537052665372,101.57736244578918,89.17447030960376,85.70460604505908,105.6839265587906,73.29046439431801,65.42455942665504,84.44377859397602,130.5221114486722
614,78.85,103.6627994697068,109.1394423383645,87.58457251224658,98.95816556019146,104.07501922339928,82.76468461765882,68.1872222657993,91.80471515070576,129.9538408981621
615,104.32,107.09579732400834,123.4545188963579,91.64981701971324,119.5954692984623,105.12010290485172,100.45445807433948,75.12046941164243,107.39657381844373,128.48423606216207
616,136.25,114.97455168119735,137.5547209081298,99.13395024788416,133.014011195877,106.83647900695556,115.14998364055012,83.78090756244049,120.99296638382788,125.93542107782127
617,147.25,126.33341202222977,150.67300280617837,108.07699938361117,147.9304769760119,110.69299651926808,131.901808350312,92.55452112059352,136.90788011990008,123.4368194921578
618,168.4,139.01792624424823,161.26413731791038,117.5793622895022,158.71663246740363,115.92014077590788,144.45412502950066,100.5904663429846,150.06568018946157,121.21175873411076
619,177.2,154.22714394908508,175.1865516489164,128.60052303737288,176.96902652243514,123.05848055525976,164.0095101696777,110.14561252545816,169.9082365881052,119.42198994241986
620,210.15,167.99390430265586,185.15765272625347,139.3635496276177,180.8444024034933,129.9616513114034,171.053016415351,118.78584438135444,178.86176679450443,118.1416742505556
621,199.97,177.59962920958736,187.0569058751708,146.0325087660472,177.49882448901138,136.47058516047073,169.50788992228362,122.33435446826302,179.49549364695318,117.92576671419576
622,185.67,182.86543501177167,186.12686202229864,148.68404328195217,172.68357875132594,141.41263673636135,165.74289281674248,122.90989374206386,177.41303591776392,118.32503000011612
623,178.25,183.9803589045305,183.1159351203262,148.69075771785157,166.64441606384304,145.04174524894412,159.15357469849306,121.35170370297833,172.10172815972845,119.4389838899401
624,166.65,181.8950037639775,179.38399369921288,146.76643566191777,161.07128309805316,146.92730497980767,152.00218397056372,118.30991307126196,165.7274735493112,120.85488583618564
625,157.78,178.86189276891156,177.62169992571447,144.5846345152751,159.7980849601911,147.2270736789861,149.31552778995422,115.9210225967577,163.03540046919562,122.22537400866509
626,161.25,176.04475229740905,175.56583539386784,143.2855234418688,160.63839724287294,146.9953437570922,148.32844272553896,113.4042806964692,161.80238816720424,123.75863371258193
627,162.57,174.42953364422112,173.6181324879729,143.08004658641835,163.7361331087905,146.1629426671774,150.0357486703303,110.63217607551142,163.07702241330747,125.1587006758527
628,168.4,165.4859302211028,152.74172932499172,137.0661039752405,130.94994573012698,139.6102327116365,120.59618479372772,99.36429445129976,136.26599012587008,125.90188669064642
629,90.8,159.1754942453316,139.73946985589905,129.98033331597904,136.36814277260223,133.8394459010782,126.58183355306682,88.53944592076171,140.10926772799448,126.93240773063602
630,148.0,154.5480007640151,136.177430117666,127.59835883642558,133.11631501189768,128.36321244924363,125.92621234866094,85.09062568092612,138.6630437419556,128.16036845890193
631,137.85,146.86781986476646,122.55921878496898,122.85061018607404,110.51765274200028,120.81248285074966,108.45041272119089,78.42715902664693,122.56172567567062,129.4178953805185
