,Gru_actual,Gru_predicted
747,59.62,122.23921626200656
748,51.33,121.29705908346588
749,47.93,120.15948650506165
750,41.92,119.0568411977909
751,44.45,118.14312202989794
752,49.2,117.55519204974499
753,52.18,117.27275648630653
754,63.22,116.99083499746455
755,58.85,116.68186871463482
756,47.72,116.44923133384489
757,35.23,116.32602478889298
758,43.83,117.61635202601094
759,61.81,119.43347161808529
760,66.37,119.84692915041315
761,72.61,119.60891261225156
762,87.21,119.0063575823471
763,74.81,118.17508405915618
764,77.38,117.48721499730856
765,85.84,117.30500162911066
766,92.22,117.47471329915113
767,95.27,117.61123363111574
768,82.98,117.73980443272636
769,69.29,117.77811416569745
770,55.96,117.79887085882413
771,45.59,118.40065105165564
772,36.7,119.61655667799023
773,35.09,120.13799222664439
774,36.05,119.98331537596128
775,41.84,119.27124010594116
776,45.64,118.55609528905521
777,36.61,118.05198181919486
778,33.96,117.79437084351598
779,36.66,117.81620783833087
780,38.78,118.23300313035749
781,108.033745,119.06027581212378
782,108.033745,119.91985323954596
783,36.91,120.47567963366772
784,43.27,120.53937273113362
785,37.54,120.25185602458234
786,29.46,119.84160959589325
787,36.13,119.57449196535805
788,53.31,119.32860785076366
789,57.44,120.1695817380791
790,48.77,120.46298422624207
791,50.9,120.28788594847344
792,47.45,119.78635030195188
793,49.11,119.2871168155797
794,79.45,118.8529174908381
795,100.24,119.67040040420221
796,57.95,120.99873190967595
797,45.53,121.13986401229576
798,32.17,120.46752149333257
799,40.11,119.31577833692154
800,45.04,118.22336236908473
801,48.69,117.4741917741982
802,55.36,116.99076049389984
803,69.2,116.77002133239323
804,83.64,116.79942043902564
805,81.18,116.7097628492602
806,71.33,116.49737553735696
807,57.7,116.39762271457406
808,52.13,116.48976127304415
809,51.91,116.73068345022924
810,58.86,116.84644708906715
811,54.14,116.734021209928
812,108.033745,116.45206246930366
813,57.92,116.19822137399882
814,51.48,116.05575565757078
815,44.97,116.0759014214669
816,49.15,116.25980602058358
817,48.35,116.42207478451007
818,108.033745,116.35006708922315
819,108.033745,116.01388465420683
820,44.89,115.53943850381185
821,35.49,115.07338890515906
822,25.39,114.63939074004216
823,31.2,114.1701821902459
824,38.85,113.82540949421916
825,38.6,113.84280607657767
826,42.65,114.3402887291793
827,47.93,115.66279405589316
828,36.2,117.5329229342548
829,32.85,119.14743753247163
830,40.28,120.18574156126353
831,46.4,120.9087465042258
832,49.92,121.35558163354129
833,41.65,121.94638000093536
834,34.19,122.57489952313935
835,30.39,122.88011827666445
836,33.86,122.62096507719617
837,36.8,122.13999986488953
838,41.34,121.52313270020534
839,45.94,120.91623411247862
840,42.2,121.38369927886079
841,32.12,122.3224739955639
842,24.05,122.48696296571858
843,21.03,122.06953439339198
844,21.28,121.08692177921672
845,19.25,119.73841470842099
846,13.65,118.26453303894046
847,17.85,116.8863288472535
848,30.97,115.87837012036574
849,46.77,115.55549402200567
850,80.98,115.96544988679241
851,97.96,116.72111719252116
852,84.96,117.51703132390331
853,73.88,117.97777626874914
854,79.14,118.4260046147246
855,76.81,119.73813159487511
856,93.48,121.7703876803903
857,95.09,123.3995347787151
858,81.79,124.47169322730875
859,63.1,125.10260431393975
860,63.800003,125.08886585660822
861,58.19,124.55749898277897
862,57.42,124.20704911512175
863,108.033745,124.68759710746603
864,108.033745,125.22176531532818
865,64.22,125.02440537242586
866,56.25,124.49827609919532
867,38.19,124.5174980188891
868,25.96,124.8192598070119
869,18.58,125.2078927515802
870,15.950001,123.99978764847017
871,22.94,122.59219925086374
872,42.1,121.4094179093968
873,60.85,120.13136140938568
874,64.01,119.10189350336773
875,63.840004,119.11899207146743
876,51.81,119.35568244617728
877,63.05,119.2262697542855
878,110.34,118.81730478690933
879,134.07,118.51328554077598
880,109.99,118.26910755781331
881,103.99,118.55301084147644
882,102.33,118.95024894776812
883,83.61,119.17413215970527
884,72.31,119.21602551413862
885,89.95,119.20195924112241
886,124.63,119.3528066085797
887,109.51,120.37423557996601
888,75.44,120.56325112362144
889,76.22,120.17338887023551
890,108.033745,119.61892589134784
891,108.033745,119.04571781558052
892,108.033745,118.64984312452293
893,26.89,118.2467192366196
894,49.42,117.81114904628744
895,54.12,117.55128806295447
896,34.64,117.32928234084787
897,41.45,117.03062735137324
898,81.99,116.66105241865637
899,67.17,116.38947947495184
900,46.12,116.11096279901686
901,40.97,115.87018962896119
902,50.33,115.88283288389155
903,48.14,117.29800574438491
904,72.19,119.21403626896101
905,66.6,120.08431240827476
906,58.34,120.75893473631791
907,55.28,120.78454906186333
908,57.12,120.70529216973064
909,66.59,120.01482293347483
910,108.033745,119.36358727439244
911,50.12,118.89517591273851
912,44.23,118.12623207177941
913,46.88,117.4006865572607
914,45.2,116.69046642600172
915,50.41,116.27744846470563
916,42.72,116.1161482471203
917,38.79,116.95020820363116
918,45.8,117.9888325977513
919,41.5,118.7754039821195
920,35.38,119.26996609498471
921,31.810001,119.54632961789974
