,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,_actual,Gru_predicted,cNN_biLSTM_1fea-Copy1_predicted,cNN_LSTM_1fea_predicted,gRU_biLSTM_1fea_predicted,cNN_1Fea_predicted,biLSTM_predicted,vANILLA_LSTM_predicted,sEQ2SEQ_predicted
128,128,128,128,128,128,128,128,147.48,114.31223223016244,97.88286049855633,102.73219240739203,85.36266901311484,144.48955936967027,132.60037920032516,126.79901421067892,139.06363229490034
129,129,129,129,129,129,129,129,139.55,115.57207970618164,97.87292331247606,103.51383328850255,85.37066196713592,143.0806838991071,133.77070261164232,127.54334967358108,139.1425338503442
130,130,130,130,130,130,130,130,139.59,115.14375271996366,97.43453995353816,103.77784659364237,85.36465794016388,134.27679888022757,126.72979656970608,125.33942482494751,135.68741745539552
131,131,131,131,131,131,131,131,132.1,112.7587088740622,95.96435785520848,103.3440891661556,85.35804308166368,119.98030186169764,119.199033438836,119.38551583488784,127.85818118219878
132,132,132,132,132,132,132,132,118.49,105.69749640839674,92.0533898094492,101.24933927943528,85.33239560664545,83.0288381764351,95.07337813055524,99.08382977459176,101.33872181000277
133,133,133,133,133,133,133,133,69.84,95.18660543821632,86.87591473418063,97.43757921284906,85.30054297720078,59.68630613309539,76.19554036242748,81.17454733519509,80.6653596631441
134,134,134,134,134,134,134,134,50.15,84.35243560633351,82.99273952295314,93.25955115347408,85.27026212156642,51.27446694240992,65.35164192108378,68.00535480023609,68.30295639026036
135,135,135,135,135,135,135,135,40.39,76.21106442224102,80.31217240405621,89.70100310281,85.2522574898153,55.77405310637745,64.6531188227945,60.14492514869523,63.20310906322444
136,136,136,136,136,136,136,136,38.55,73.96631814952966,79.72516330548315,87.63344266825831,85.25365048366614,79.28721199811396,78.50504967545501,64.67461711292015,70.96171235410257
137,137,137,137,137,137,137,137,63.83,75.15102589841877,79.40291242854767,86.74185956124185,85.25407508606986,84.1788402656931,81.87234041531656,63.75234344619555,70.71955489900736
