,Test,BiLSTM-Tred_Pred,BiLSTM-GAB_Pred,CNN-Tred_Pred,CNN-GAB_Pred,GRU-Tred_Pred,GRU-GAB_Pred,LSTM (1)-Tred_Pred,LSTM (1)-GAB_Pred,RNN-Tred_Pred,RNN-GAB_Pred
2797,6.9,7.881108283996582,7.3837646909973875,7.924384117126465,7.46300653548367,7.560696601867676,7.425617092008062,7.689727783203125,7.438645934244094,7.442054748535156,7.79042589418856
2798,7.02,7.048975944519043,7.599456637064169,7.0918073654174805,7.593803951970095,6.802589416503906,7.736160544860907,6.971966743469238,7.766778095284725,6.75111198425293,7.594051432143584
2799,8.36,7.5093536376953125,8.498970732417876,7.384588241577148,8.637655803484032,7.3506999015808105,8.79564850747962,7.40180778503418,8.740851021716377,7.127490997314453,8.245407819773817
2800,9.46,8.902771949768066,9.638943572091218,8.763498306274414,9.61288868628588,8.958174705505371,9.410727110502567,8.930323600769043,9.729661118343207,8.708271026611328,9.772563775849951
2801,7.75,9.877309799194336,9.06980497006262,9.668521881103516,9.010811492809944,9.579777717590332,8.877644160584289,9.735587120056152,9.177655414369678,9.506089210510254,8.363396377961143
2802,7.02,7.270874977111816,7.089364562185446,7.461879730224609,7.365969930571735,7.080618858337402,7.268501216465116,7.202737331390381,7.229474469975724,6.887059688568115,7.766209132026892
2803,5.636666667,7.125800132751465,6.208573197189468,7.137115478515625,6.5275177755183735,6.977154731750488,6.691773379242899,7.102805137634277,6.546771066669423,7.043912887573242,6.449902505852448
2804,4.416666667,5.475067138671875,4.897283778637657,5.600987434387207,5.00643384697163,5.254983901977539,5.105233585312777,5.339794635772705,4.993219964197846,5.13665771484375,4.7362923591763595
2805,3.1966666670000006,4.320782661437988,4.042730732270125,4.568562030792236,4.024388827380791,4.229814529418945,4.1647866022096105,4.377692699432373,4.0525230991552466,4.346014022827148,4.000917930160488
2806,6.29,3.3845701217651367,4.507638932060605,3.4051899909973145,4.632687584518615,3.120528221130371,4.576728153378429,3.1795291900634766,4.458982458443303,3.23978328704834,4.250268016651391
2807,5.619999999999999,7.021860599517822,6.45596304332106,7.195463180541992,6.581759386983486,7.302423477172852,6.858656639035554,7.443881034851074,6.707587069106417,6.893050670623779,6.164708351312821
2808,5.0,5.298418998718262,5.5293410438957,5.369843482971191,5.3113016599124965,5.063065052032471,5.671672267792578,5.069165229797363,5.398093780764779,5.042774677276611,5.100729062671981
2809,5.0,5.134957313537598,5.20181204034019,5.171022415161133,5.2906263003096985,4.940675735473633,5.259649349270109,5.088785648345947,5.357592212434362,5.102619171142578,5.729766815358043
2810,5.370000000000001,5.316437244415283,5.808638658896471,5.2136430740356445,5.626210218650364,4.973665237426758,5.551681131629773,5.132203102111816,5.7815521222839195,4.880643844604492,5.867869102924754
2811,5.25,5.644153594970703,5.565786187867869,5.557053565979004,5.376482655074185,5.4897871017456055,5.535597897908188,5.575162887573242,5.536545029839966,5.4319915771484375,5.78224210346454
2812,5.0,5.258277416229248,5.240329421159612,5.32893180847168,5.175742755945276,5.143026351928711,5.343900105895277,5.251242637634277,5.291574354912773,5.080757141113281,5.482967809172394
2813,5.68,5.0432024002075195,5.874454186920391,5.168506622314453,5.792466356497125,4.904139518737793,6.022200532346299,5.012292861938477,5.999057945245941,4.904323577880859,5.6839928544221845
2814,6.53,5.837725639343262,6.390151252950939,5.9273176193237305,6.505172468156796,5.8190598487854,6.605154870757614,5.8542914390563965,6.443942269394715,5.752378940582275,6.283084378535807
2815,6.23,6.490205764770508,6.0407593171066765,6.70240592956543,6.230869082137537,6.480928421020508,6.085380203423316,6.52553653717041,6.030980699037974,6.363858222961426,6.031550741347204
2816,5.8,5.9521684646606445,5.789839564794165,6.204714775085449,5.889503987056311,5.864382743835449,5.731540471642827,5.969614028930664,5.752372244752268,5.801217079162598,5.7732829292520735
2817,6.29,5.676922798156738,6.3220917048789795,5.864840984344482,6.372275168189247,5.553540229797363,6.442989679484482,5.639615535736084,6.313706346019673,5.523343086242676,6.2785058518920085
2818,7.45,6.37027645111084,7.144420117743786,6.503330230712891,7.4433064736846095,6.274404525756836,7.263782316317716,6.349213123321533,7.290342989441951,6.208812713623047,6.985776144931773
2819,7.08,7.449269771575928,6.879327150515542,7.666170120239258,7.007930185534502,7.349006652832031,6.7775431054114765,7.464233875274658,6.746409684997679,7.269436836242676,6.693073763404771
2820,5.86,6.693098068237305,5.993107048434033,6.980729579925537,6.084095006087352,6.5507307052612305,5.8305352212341015,6.736966133117676,5.850371218408512,6.478209972381592,5.741587384341413
2821,5.13,5.581061840057373,5.308463307242122,5.791811943054199,5.350745020206839,5.424232482910156,5.314847541627954,5.573259353637695,5.279023285374521,5.43312931060791,5.241299571624123
2822,5.0,5.031960487365723,5.227362393660921,5.243557453155518,5.251373025953561,4.908487319946289,5.259723819277258,5.065606117248535,5.231040114516571,4.846989154815674,5.320290350410607
2823,5.31,5.020157814025879,5.529291177636236,5.209268093109131,5.585098944857592,4.972681999206543,5.603568246207133,5.068152904510498,5.578939210303258,4.9101338386535645,5.628558617716791
2824,5.49,5.388782501220703,5.588001935728965,5.575903415679932,5.7156774509670285,5.355152130126953,5.679895246408637,5.430903434753418,5.68401460772643,5.3243408203125,5.823955400815271
2825,6.29,5.578106880187988,6.375862116110307,5.690068244934082,6.422010277707641,5.441197395324707,6.462987304370934,5.541627883911133,6.533211054797843,5.384128570556641,6.578824062797955
2826,6.16,6.44748067855835,6.098951907922324,6.550335884094238,6.220542711667309,6.405906677246094,6.123536323193382,6.451376914978027,6.077760916227135,6.332034111022949,6.283818787341861
2827,5.549999999999999,5.994534492492676,5.655848011281123,6.166802406311035,5.743875403065081,5.874335289001465,5.5958075489807815,6.015480041503906,5.5337078812088745,5.75009822845459,5.663001815788726
2828,4.880000000000001,5.422657489776611,5.07452969628367,5.583646774291992,5.154362639123911,5.28594970703125,5.11883329685126,5.419246673583984,5.046911298050255,5.311683654785156,5.085711949336293
2829,4.58,4.806230545043945,4.78744970509641,4.968549728393555,4.861826465749221,4.6349873542785645,4.833865745532751,4.798849105834961,4.805433645585812,4.610747814178467,4.749772641842251
2830,4.27,4.601642608642578,4.5773248815198,4.761064529418945,4.535105821817421,4.527410984039307,4.6473670280653705,4.634891510009766,4.555397275801096,4.500275611877441,4.563067328186891
2831,4.46,4.30161190032959,4.786599598778904,4.438552379608154,4.741290104375629,4.201911449432373,4.813883098837571,4.314371109008789,4.7915334445900415,4.174972057342529,4.611671397179596
2832,4.27,4.616222381591797,4.6472443250042135,4.740169525146484,4.574314876697429,4.555843830108643,4.586484186951389,4.627678871154785,4.543025275129808,4.502407550811768,4.626631871381866
2833,4.58,4.2982001304626465,4.818204104391924,4.420827388763428,4.8409462950971704,4.16096305847168,5.009749981235317,4.301412582397461,4.918771647963887,4.104968547821045,4.85980808131887
